ts_micro,frame_index,threshold
1616659725.86384,157,32
1616659725.972764,158,33
1616659726.076163,159,34
1616659726.164321,160,35
1616659726.251004,161,36
1616659726.374701,162,37
1616659726.484402,163,38
1616659726.569377,164,39
1616659726.676489,165,40
1616659726.766319,166,41
1616659726.867768,167,42
1616659726.977537,168,43
1616659727.073277,169,44
1616659727.1696,170,45
1616659727.25873,171,46
1616659727.373417,172,47
1616659727.475821,173,48
1616659727.583304,174,49
1616659727.699507,175,50
1616659727.828687,176,51
1616659727.934691,177,52
1616659728.033977,178,53
1616659728.135261,179,54
1616659728.244366,180,55
1616659728.348486,181,56
1616659728.446582,182,57
1616659728.537928,183,58
1616659728.643505,184,59
1616659728.741016,185,60
1616659728.834974,186,61
1616659728.938544,187,62
1616659729.032873,188,63
1616659729.128763,189,64
1616659729.225025,190,65
1616659729.3227,191,66
1616659729.424677,192,67
1616659729.506216,193,68
1616659729.602911,194,69
1616659729.69945,195,5
1616659729.784888,196,6
1616659729.882949,197,7
1616659729.981561,198,8
1616659730.083846,199,9
1616659730.19501,200,10
1616659730.304416,201,11
1616659730.405428,202,12
1616659730.517528,203,13
1616659730.623019,204,14
1616659730.731673,205,15
1616659730.831122,206,16
1616659730.931001,207,17
1616659731.027606,208,18
1616659731.12398,209,19
1616659731.222184,210,20
1616659731.339957,211,21
1616659731.434132,212,22
1616659731.520599,213,23
1616659731.604267,214,24
1616659731.706946,215,25
1616659731.823621,216,26
1616659731.924983,217,27
1616659732.026593,218,28
1616659732.111351,219,29
1616659732.211771,220,30
1616659732.309158,221,31
1616659732.413033,222,32
1616659732.510462,223,33
1616659732.617975,224,34
1616659732.718433,225,35
1616659732.818446,226,36
1616659732.915903,227,37
1616659733.016884,228,38
1616659733.116069,229,39
1616659733.211562,230,40
1616659733.31018,231,41
1616659733.413275,232,42
1616659733.516865,233,43
1616659733.628605,234,44
1616659733.727902,235,45
1616659733.83002,236,46
1616659733.930537,237,47
1616659734.02723,238,48
1616659734.13038,239,49
1616659734.24431,240,50
1616659734.354053,241,51
1616659734.46208,242,52
1616659734.55909,243,53
1616659734.660516,244,54
1616659734.768467,245,55
1616659734.868537,246,56
1616659734.974716,247,57
1616659735.090711,248,58
1616659735.206844,249,59
1616659735.31776,250,60
1616659735.438527,251,61
1616659735.532343,252,62
1616659735.641006,253,63
1616659735.737752,254,64
1616659735.831155,255,65
1616659735.914139,256,66
1616659736.000393,257,67
1616659736.094307,258,68
1616659736.177753,259,69
1616659736.269859,260,5
1616659736.358709,261,6
1616659736.443698,262,7
1616659736.532003,263,8
1616659736.624504,264,9
1616659736.708192,265,10
1616659736.794482,266,11
1616659736.874534,267,12
1616659736.960592,268,13
1616659737.053476,269,14
1616659737.142264,270,15
1616659737.22352,271,16
1616659737.310045,272,17
1616659737.395721,273,18
1616659737.4809,274,19
1616659737.576703,275,20
1616659737.668132,276,21
1616659737.761645,277,22
1616659737.845984,278,23
1616659737.924754,279,24
1616659738.012605,280,25
1616659738.102568,281,26
1616659738.197941,282,27
1616659738.280429,283,28
1616659738.359302,284,29
1616659738.45144,285,30
1616659738.548261,286,31
1616659738.657034,287,32
1616659738.741934,288,33
1616659738.82222,289,34
1616659738.902918,290,35
1616659738.990879,291,36
1616659739.081319,292,37
1616659739.16861,293,38
1616659739.259223,294,39
1616659739.34801,295,40
1616659739.429588,296,41
1616659739.511382,297,42
1616659739.594032,298,43
1616659739.679639,299,44
1616659739.776102,300,45
1616659739.876312,301,46
1616659739.962938,302,47
1616659740.058849,303,48
1616659740.149632,304,49
1616659740.235554,305,50
1616659740.330279,306,51
1616659740.41812,307,52
1616659740.50479,308,53
1616659740.600186,309,54
1616659740.693286,310,55
1616659740.783456,311,56
1616659740.879268,312,57
1616659740.965923,313,58
1616659741.044216,314,59
1616659741.126076,315,60
1616659741.220724,316,61
1616659741.308417,317,62
1616659741.394867,318,63
1616659741.487298,319,64
1616659741.5906,320,65
1616659741.680841,321,66
1616659741.761878,322,67
1616659741.848056,323,68
1616659741.936933,324,69
1616659742.029344,325,5
1616659742.124008,326,6
1616659742.212969,327,7
1616659742.301494,328,8
1616659742.392517,329,9
1616659742.471089,330,10
1616659742.552311,331,11
1616659742.647726,332,12
1616659742.745808,333,13
1616659742.830172,334,14
1616659742.909994,335,15
1616659742.993585,336,16
1616659743.080707,337,17
1616659743.168696,338,18
1616659743.253782,339,19
1616659743.353342,340,20
1616659743.449869,341,21
1616659743.532558,342,22
1616659743.617128,343,23
1616659743.71361,344,24
1616659743.823002,345,25
1616659743.940844,346,26
1616659744.048768,347,27
1616659744.137122,348,28
1616659744.222423,349,29
1616659744.307187,350,30
1616659744.403715,351,31
1616659744.49188,352,32
1616659744.582795,353,33
1616659744.689748,354,34
1616659744.807849,355,35
1616659744.910905,356,36
1616659745.021693,357,37
1616659745.127605,358,38
1616659745.237973,359,39
1616659745.3376,360,40
1616659745.424052,361,41
1616659745.509617,362,42
1616659745.597645,363,43
1616659745.693362,364,44
1616659745.786415,365,45
1616659745.877005,366,46
1616659745.962646,367,47
1616659746.057319,368,48
1616659746.148272,369,49
1616659746.246234,370,50
1616659746.337979,371,51
1616659746.431285,372,52
1616659746.512882,373,53
1616659746.595221,374,54
1616659746.695536,375,55
1616659746.795008,376,56
1616659746.885148,377,57
1616659746.998491,378,58
1616659747.114045,379,59
1616659747.23671,380,60
1616659747.351856,381,61
1616659747.460634,382,62
1616659747.561986,383,63
1616659747.668106,384,64
1616659747.763427,385,65
1616659747.851599,386,66
1616659747.952995,387,67
1616659748.050022,388,68
1616659748.148938,389,69
1616659748.236778,390,5
1616659748.328755,391,6
1616659748.429052,392,7
1616659748.54671,393,8
1616659748.639353,394,9
1616659748.718164,395,10
1616659748.810835,396,11
1616659748.907651,397,12
1616659748.997958,398,13
1616659749.088508,399,14
1616659749.174385,400,15
1616659749.262172,401,16
1616659749.351314,402,17
1616659749.461967,403,18
1616659749.553041,404,19
1616659749.636583,405,20
1616659749.719652,406,21
1616659749.808868,407,22
1616659749.899073,408,23
1616659749.99358,409,24
1616659750.079849,410,25
1616659750.169387,411,26
1616659750.257515,412,27
1616659750.346761,413,28
1616659750.442012,414,29
1616659750.529723,415,30
1616659750.614707,416,31
1616659750.706566,417,32
1616659750.79705,418,33
1616659750.886745,419,34
1616659750.988676,420,35
1616659751.072955,421,36
1616659751.160895,422,37
1616659751.255331,423,38
1616659751.359302,424,39
1616659751.458265,425,40
1616659751.554742,426,41
1616659751.647492,427,42
1616659751.744309,428,43
1616659751.832132,429,44
1616659751.925106,430,45
1616659752.015923,431,46
1616659752.106591,432,47
1616659752.202446,433,48
1616659752.295051,434,49
1616659752.386257,435,50
1616659752.490707,436,51
1616659752.582477,437,52
1616659752.672446,438,53
1616659752.761316,439,54
1616659752.847281,440,55
1616659752.949087,441,56
1616659753.03945,442,57
1616659753.133686,443,58
1616659753.228432,444,59
1616659753.319642,445,60
1616659753.42072,446,61
1616659753.518891,447,62
1616659753.620143,448,63
1616659753.729698,449,64
1616659753.818703,450,65
1616659753.908536,451,66
1616659754.000762,452,67
1616659754.095154,453,68
1616659754.210615,454,69
1616659754.321068,455,5
1616659754.405619,456,6
1616659754.484727,457,7
1616659754.572369,458,8
1616659754.663473,459,9
1616659754.752958,460,10
1616659754.839709,461,11
1616659754.939509,462,12
1616659755.040876,463,13
1616659755.150749,464,14
1616659755.258888,465,15
1616659755.352645,466,16
1616659755.437705,467,17
1616659755.537138,468,18
1616659755.628,469,19
1616659755.714385,470,20
1616659755.819015,471,21
1616659755.909852,472,22
1616659755.996043,473,23
1616659756.096327,474,24
1616659756.189009,475,25
1616659756.281925,476,26
1616659756.384845,477,27
1616659756.47104,478,28
1616659756.574737,479,29
1616659756.664328,480,30
1616659756.772745,481,31
1616659756.866261,482,32
1616659756.958744,483,33
1616659757.056453,484,34
1616659757.162383,485,35
1616659757.24535,486,36
1616659757.325947,487,37
1616659757.422035,488,38
1616659757.535559,489,39
1616659757.625644,490,40
1616659757.712957,491,41
1616659757.816625,492,42
1616659757.931691,493,43
1616659758.025488,494,44
1616659758.129312,495,45
1616659758.222964,496,46
1616659758.325368,497,47
1616659758.430097,498,48
1616659758.526756,499,49
1616659758.619435,500,50
1616659758.709152,501,51
1616659758.800005,502,52
1616659758.902928,503,53
1616659759.010858,504,54
1616659759.103815,505,55
1616659759.201593,506,56
1616659759.312686,507,57
1616659759.408404,508,58
1616659759.506428,509,59
1616659759.589703,510,60
1616659759.671314,511,61
1616659759.764383,512,62
1616659759.857078,513,63
1616659759.953515,514,64
1616659760.061057,515,65
1616659760.177734,516,66
1616659760.284429,517,67
1616659760.366758,518,68
1616659760.451304,519,69
1616659760.542357,520,5
1616659760.645992,521,6
1616659760.751236,522,7
1616659760.860491,523,8
1616659760.97433,524,9
1616659761.069209,525,10
1616659761.167678,526,11
1616659761.265821,527,12
1616659761.373116,528,13
1616659761.469012,529,14
1616659761.558985,530,15
1616659761.649288,531,16
1616659761.743294,532,17
1616659761.861305,533,18
1616659761.978154,534,19
1616659762.092023,535,20
1616659762.185232,536,21
1616659762.266181,537,22
1616659762.358771,538,23
1616659762.451552,539,24
1616659762.555882,540,25
1616659762.663858,541,26
1616659762.773541,542,27
1616659762.864818,543,28
1616659762.972558,544,29
1616659763.06723,545,30
1616659763.1554,546,31
1616659763.25283,547,32
1616659763.340343,548,33
1616659763.42228,549,34
1616659763.522348,550,35
1616659763.635735,551,36
1616659763.735043,552,37
1616659763.83483,553,38
1616659763.927078,554,39
1616659764.018825,555,40
1616659764.107479,556,41
1616659764.215717,557,42
1616659764.304879,558,43
1616659764.392462,559,44
1616659764.501403,560,45
1616659764.600421,561,46
1616659764.697949,562,47
1616659764.803543,563,48
1616659764.906122,564,49
1616659764.99449,565,50
1616659765.076439,566,51
1616659765.173685,567,52
1616659765.269213,568,53
1616659765.363166,569,54
1616659765.465383,570,55
1616659765.57003,571,56
1616659765.672772,572,57
1616659765.764493,573,58
1616659765.86313,574,59
1616659765.951047,575,60
1616659766.036099,576,61
1616659766.137069,577,62
1616659766.215564,578,63
1616659766.303124,579,64
1616659766.395749,580,65
1616659766.512975,581,66
1616659766.614991,582,67
1616659766.714523,583,68
1616659766.817378,584,69
1616659766.914853,585,5
1616659767.001633,586,6
1616659767.087604,587,7
1616659767.184567,588,8
1616659767.276605,589,9
1616659767.380552,590,10
1616659767.483157,591,11
1616659767.576639,592,12
1616659767.680329,593,13
1616659767.77792,594,14
1616659767.876106,595,15
1616659767.97975,596,16
1616659768.072313,597,17
1616659768.177573,598,18
1616659768.266519,599,19
1616659768.360445,600,20
1616659768.453432,601,21
1616659768.548815,602,22
1616659768.627369,603,23
1616659768.711533,604,24
1616659768.800103,605,25
1616659768.890987,606,26
1616659769.004357,607,27
1616659769.098408,608,28
1616659769.178598,609,29
1616659769.271683,610,30
1616659769.371375,611,31
1616659769.492633,612,32
1616659769.58258,613,33
1616659769.662631,614,34
1616659769.743676,615,35
1616659769.83512,616,36
1616659769.942402,617,37
1616659770.051343,618,38
1616659770.150773,619,39
1616659770.24157,620,40
1616659770.331325,621,41
1616659770.42613,622,42
1616659770.525369,623,43
1616659770.611061,624,44
1616659770.6936,625,45
1616659770.789145,626,46
1616659770.881278,627,47
1616659770.98227,628,48
1616659771.101916,629,49
1616659771.217771,630,50
1616659771.32167,631,51
1616659771.40448,632,52
1616659771.498215,633,53
1616659771.590761,634,54
1616659771.682094,635,55
1616659771.779816,636,56
1616659771.865567,637,57
1616659771.950883,638,58
1616659772.047437,639,59
1616659772.146033,640,60
1616659772.236192,641,61
1616659772.328466,642,62
1616659772.42201,643,63
1616659772.502977,644,64
1616659772.584,645,65
1616659772.673907,646,66
1616659772.77442,647,67
1616659772.862899,648,68
1616659772.952764,649,69
1616659773.049678,650,5
1616659773.14205,651,6
1616659773.235334,652,7
1616659773.321498,653,8
1616659773.40272,654,9
1616659773.495332,655,10
1616659773.586331,656,11
1616659773.672639,657,12
1616659773.761081,658,13
1616659773.853267,659,14
1616659773.934824,660,15
1616659774.014875,661,16
1616659774.11324,662,17
1616659774.205856,663,18
1616659774.287781,664,19
1616659774.367904,665,20
1616659774.460858,666,21
1616659774.552836,667,22
1616659774.650348,668,23
1616659774.742034,669,24
1616659774.826664,670,25
1616659774.917945,671,26
1616659775.015347,672,27
1616659775.100605,673,28
1616659775.194924,674,29
1616659775.279812,675,30
1616659775.374242,676,31
1616659775.497452,677,32
1616659775.606311,678,33
1616659775.700702,679,34
1616659775.784675,680,35
1616659775.876407,681,36
1616659775.965773,682,37
1616659776.062644,683,38
1616659776.167361,684,39
1616659776.266327,685,40
1616659776.363863,686,41
1616659776.461027,687,42
1616659776.555089,688,43
1616659776.652143,689,44
1616659776.760131,690,45
1616659776.867452,691,46
1616659776.972346,692,47
1616659777.083458,693,48
1616659777.179788,694,49
1616659777.284485,695,50
1616659777.377836,696,51
1616659777.471688,697,52
1616659777.561242,698,53
1616659777.648952,699,54
1616659777.739134,700,55
1616659777.827918,701,56
1616659777.93371,702,57
